Unusual,Blog Name,URL,Person's Name,Location,Source,Description
,Velvet Coast,http://velvetcoast.blogspot.com/,Angie,Southern California,http://www.socalbloggersociety.com/p/members.html,Playing with Oxfords that I bought a year ago and never wore. If my sweater obsession doesn't stop during summer at least my footwear will be appropriate.
,What Would Kiki Wear,http://whatwouldkikiwear.blogspot.com/,Samantha,Southern California,http://www.socalbloggersociety.com/p/members.html,"This is a collection of all things fabulous and fashionable. I have a love for fashion, marketing and any thing that sparkles."
,Wear in LA,http://wearinla.com/,Kate,Los Angeles/California,http://www.socalbloggersociety.com/p/members.html,"This blog is a personal blog written and edited by Kate Heimann.  I will and do accept review samples, free products, and paid article placement if I feel the product or brand would interest my readership. I require a sample, of my choosing, for all reviews. The sample will not be returned, and you will be responsible for any shipping costs involved."
,West Coast Capri ,http://www.westcoastcapri.com/,Chelsey,Southern California,http://www.socalbloggersociety.com/p/members.html,"Hi there! I'm Chelsey, the voice behind the lifestyle blog, West Coast Capri.  I'm a wife to my best friend, Adam who moved me out to the west coast after we tied the knot and I have loved every minute of the surf, sand, and palm trees that sunny Southern California has to offer. "
,Whirlwind Romance,http://www.whirlwind-romance.com/,Tammy,Southern California,http://www.socalbloggersociety.com/p/members.html,"As always, I'm on the hunt for new online retailers who specialize in products from the U.K. Not too long ago I came across an amazing British online retailer Poppy Lux, a online brand that offers a great variety of ""weekend glamour"" all day everyday. "
,Whimsical Writings,http://www.biancanadine.com/,Bianca,Southern California,http://www.socalbloggersociety.com/p/members.html,"After searching the web and stores for pretty fitness journals, I realized there wouldn't be many that would benefit my needs. And if they did, they'd be super expensive. So I then decided to make my own and now I want to share it with you."
,White Tee Black Dress,http://www.whiteteeblackdress.com/,Tuyaymya,San Diego/California,http://www.socalbloggersociety.com/p/members.html,"White Tee Black Dress is my blank canvas. As a personal lookbook for fashion, beauty, and life it challenges my creativity and allows me to explore who I am through blogging. Expect to see anything from OOTDs, fashion inspirations, foodie delights, music obsessions and random ramblings."
,Xpressiories,http://www.xpressiories.com/,DAndhra,Southern California,http://www.socalbloggersociety.com/p/members.html,"Xpressiories is a blog dedicated to 4 key elements: My personal style, Empowerment of self, Self acceptance and Expressing my adoration for all shiny jewelry."
,XoXo K. Marie,http://xoxokmarie.com/,Kiara,Southern California,http://www.socalbloggersociety.com/p/members.html,"Emblem Showroom has done it again! They introduced me to the brand Spencer Lacy and as soon as I tried on this look, I became an instant fan! These clothes had me feeling super sexy all while being fully covered; it doesn't get any better than that ladies."
,Xo Christine Marie,http://xochristinemarie.blogspot.com/,Christine,California,http://www.socalbloggersociety.com/p/members.html,This was the original thought that sparked 'xo Christine Marie'. I spent 2 amazing years in the classroom as a kindergarten teacher contemplating why teachers had the 'fashion reputation' we all think about when picturing our elementary school teachers.
,Beauty by Brittany Michele,http://brittanymicheleblog.com/,Brittany,---,http://www.socalbloggersociety.com/p/members.html,---Page did not Found---
,Betzey's Makeup,http://www.betzysmakeup.com/,Betzey,Southern California,http://www.socalbloggersociety.com/p/members.html,In order to achieve a flawless face it's important to start off with a prep face in order to get the best look possible. It all starts before the makeup that's why I though it was ideal to share my morning skincare routine with you.
,Ahleessa 4 Realz,http://ahleessa4realz.blogspot.com/,Alyssa,Los Angeles/California,http://www.socalbloggersociety.com/p/members.html,"m a simple, down-to-earth girl who enjoys beauty in all aspects from cosmetics to skincare. In 2008, I started my blog to refer back to the reviews. I also enjoy talking about my hobbies from crafts, knitting, crochet, cooking, Korean music and dramas, and my love for animals. In 2012, we had to put my younger brother (our family dog) down."
,Blush & Fuss,http://blushandfuss.wordpress.com/,Jennifer,Southern California,http://www.socalbloggersociety.com/p/members.html,"Blush and Fuss is dedicated to many of the traditional aspects of beauty blogging, including: Tutorials, Hauls, Discussions and Reviews."
,For the Love of Curls,http://www.fortheloveofcurls.com/,LaShon,Southern California,http://www.socalbloggersociety.com/p/members.html,"I'm LaShon Renee aka Blogger-at-Large and I'm a lover of all things curly hair! From hair products, to t-shirts, hair accessories, jewelry, natural events, meetups - you name it I'm all about it."
,Beauty Bar Daily,http://beautybardaily.blogspot.com/,Rose,Los Angeles/California,http://www.socalbloggersociety.com/p/members.html,"I'm Rose and I have a passion for beauty, helping people, fashion, art, coffee and all things delicious! I'm from Los Angeles, CA. and just started my blog as a creative outlet but it turned into so much more for me. I am passionate and put my all into this little blog. I'm extremely close to hitting 25k+ page views and that's amazing to me! THANK YOU so much to my readers and subscribers."
,Have A Parade,http://www.haveaparade.com/,Lindsay,Southern California,http://www.socalbloggersociety.com/p/members.html,"It was like Christmas! I received both my Julep and Baublebar order on the same day. That was seriously so exciting. I figured now I should take the time to give you some of my thoughts on the Baublebar items I purchased. I'm not a huge fan of ordering jewelry online, but the one thing I really like about Baublebar is that they actually show you the item on a person for scale. "
,House of Nakashiima ,http://houseofnakashiima.blogspot.com/,Elizabeth,Los Angeles/California,http://www.socalbloggersociety.com/p/members.html,"My name is Elizabeth Diaz and I am the founder & editor for this blog. I am also a makeup artist, cosmetics lover & beauty products aficionado from Palm Springs CA but currently live in Los Angeles."
,JenJeniferJenny,http://jenjeniferjenny.blogspot.com/,Jenifer,San Diego/California,http://www.socalbloggersociety.com/p/members.html,"I am so excited to share these charming makeup travel palettes from Alcone at Home with you all!  Alcone at Home has various makeup palettes to help organize your makeup, and they come in handy assorted shapes and sizes. "
,Lashes & Coffee,http://lashesandcoffee.blogspot.com/,Shelby,---,http://www.socalbloggersociety.com/p/members.html,---Blog has been removed---
,Le Musings of Moi,http://summersaldana.com/blog,Summer,Southern California,http://www.socalbloggersociety.com/p/members.html,"“Summer is one of those women who certainly isn’t trying to hide anything — except maybe what is behind her beloved bangs. She is refreshingly open about her mommy meltdowns (she has 2 children, but one is strong willed, so it’s more like 4), her faith, and her obsession with thrift store shopping and makeup/skincare hauls."
,LN Couture,http://www.lncouture.com/,Lauren,Southern California,http://www.socalbloggersociety.com/p/members.html,LN Couture (Lauren Nicole Couture) was founded by a small town girl who found success in the Fashion & Beauty Industry. The passion evolved into a Online Boutique. which provides the latest trends and styles hand picked by Lauren Nicole.
,"Makeup, Life, and Love",http://makeuplifelove.com/,Jamie,Southern California,http://www.socalbloggersociety.com/p/members.html,"Thirty-something, Southern Californian Jamie is the girl behind Makeup, Life and Love. A self-professed product lover, makeup fiend, and makeup artist who is obsessed with all things skin & beauty."
,Monique The Face,http://www.moniquetheface.com/,Monique,Southern California,http://www.socalbloggersociety.com/p/members.html,"Did yah miss me?!!  So, I was on a roll with posting, and feeling good about it!  But of course my MacPro had to trip out like a crazy machine person!  Haaaaaaa...breathe!  Anyway I'm researching to see if I need a new computer, and which one to get, if I do."
,The Makeup Vixen,http://www.makeupvixen.blogspot.com/,Janee,Southern California,http://www.socalbloggersociety.com/p/members.html,"What an amazing concept! I get to try on makeup on my computer before I decide to buy it!! I don’t have to feel pressured from any sales person, I’m not rushing to the shelves to fight over the last concealer in my shade, no lines, no fuss and I can do this from my own home."
,Weezy Wee,http://weezywee.com/,Allison,Los Angeles/California,http://www.socalbloggersociety.com/p/members.html,Welcome to WeezyWee.com! I’m an early 20′s girl who recently graduated from Indiana University. I found my way to Los Angeles for the next “young professional” chapter of my life where I work as a marketing analyst.
,withkendra,http://withkendra.com/,Kendra,Southern California,http://www.socalbloggersociety.com/p/members.html,"Hello! Thank you for visiting my blog! My name is Kendra Atkins and I am 24. I married my high school sweetheart, Andrew, on June 8th, 2012. We live in southern California with our adorable Shiba Inu puppy, Kaila (we are obsessed)."
,Little Love Peanut,http://www.littlelovepeanut.blogspot.com/,Nicole,Southern California,http://www.socalbloggersociety.com/p/members.html,"Hiya! Spring is in full force now and I thought I would share some of my favorite spring items! I really love how beautiful everything looks during spring, and how the weather isn't too hot yet, but spring has never been a season I looked forward to. I just love autumn and winter so much! And summer always meant a break from school. This is kind of my way of getting excited!"
,Love Lipgloss,http://www.lovelipgloss.com/,Keren,Southern California,http://www.socalbloggersociety.com/p/members.html,"Loreal recently launched a new mascara named New Voluminous Miss Manga Mascara. Apparently the ""manga"" look is very popular in Japan; it comes from cartoons/comic books."
,Busy and Beautiful ,http://www.busyandbeautiful.com/,Bobbi,Southern California,http://www.socalbloggersociety.com/p/members.html,Have you been seeing the #100happydays lately in your Facebook and Instagram feed? Wondering what it's all about? It's basically a challenge to document one thing a day that makes you happy for 100 days in a row.  Ready to start? We are! Starting today and for the next 99 days we'll be posting things that make us happy to Instagram and Facebook.
,Blush and Barbells,http://blushandbarbells.com/,Wendy,Southern California,http://www.socalbloggersociety.com/p/members.html,"You may or may not know that I love peanut butter. So when MyProtein asked me to try Impact Whey Protein in the Vanilla Raspberry flavor, of course I accepted and started planning how to use it!"
,"Family, Fitness, Food",http://familyfitnessfood.com/,Carrie,Southern California,http://www.socalbloggersociety.com/p/members.html,"Being a big reader, I read everything I could get my eyes on regarding living healthy.  I exercised, I counted calories, I did everything according to the “rules”.  I lost 40 pounds in 9 months and then looked around and thought “what’s next”?  How do I keep the weight off?"
,"Lift, Write, Love",http://www.liftwritelove.com/,Heather,Southern California,http://www.socalbloggersociety.com/p/members.html,We had some weird weather here in the desert today. There was thunder and it poured and when I left work the sky looked eerie. I could barely see the mountains.
,One Fit Mother,http://onefitmother.com/,Heather,Southern California,http://www.socalbloggersociety.com/p/members.html,"Growing up playing multiple sports, Heather always felt a connection to fitness. However, she found that as her 20s brought about more work responsibilities there seemed to be less time for sports opportunities"
,The Broccoli Blog,http://brocblog.com/,Ashley,Southern California,http://www.socalbloggersociety.com/p/members.html," A few years ago, the vegetable nickname would have been better interpenetrated as “couch potato” however throughout college, I slowly discovered a love for fitness. Thanks to long walks to class and hitting the gym several times a week, I lost almost 40 lbs in 3 years. Towards the end of all that I discovered running and ran my first half marathon in June 2013."
,Joy.Laugher.Sweat,http://www.joylaughtersweat.com/,Katy,Los Angeles/California,http://www.socalbloggersociety.com/p/members.html,"Since then, I’ve managed to develop a successful career in social media, adopt two of the funniest dogs you’ll ever meet, and become a fitness junkie. In October 2013, I completed my first half marathon and have set a lofty goal of running a sub-two hour 13.1 in 2014. Perhaps my greatest accomplishment since arriving in LA was meeting an incredible guy, Tyler, who (finally!) popped the question this past January."
,Live from La Quinta,http://livefromlaquinta.com/,Debbie,La Quinta/Southern California ,http://www.socalbloggersociety.com/p/members.html,"In January of 2007, I decided that my love of animals would no longer allow me to eat them. Fortunately, my husband felt the same way and we both decided to become vegetarian. It was definitely one of the best and happiest decisions I’ve ever made."
,Jenna Maki,http://www.jennamaki.com/,Jenna,---,http://www.socalbloggersociety.com/p/members.html,---Showing Bluehost Page---
,Glitterbombs of Glory,http://glitterbombsofglory.wordpress.com/,Theresa,Southern California,http://www.socalbloggersociety.com/p/members.html,"Glitterbombs of Glory Team. Erin, Kendra, and Theresa. We, of course, always welcome new members who have a love of adventures, having fun, running, climbing trees, and hide-and-seek."
,GetFitWithLynds,http://thebalancedbrunette.com/,Lyndsay,Southern California,http://www.socalbloggersociety.com/p/members.html,"I'm Lyndsay. A 26 year old healthy living blogger/coach/nanny/dogsitter (I love to stay busy, can ya tell?). I'm a yogi and currently training for my first half marathon! I have bipolar disorder and a passion for holistic health."
,Gabby Rose Runs,http://www.gabbyroseruns.com/,Gabby,Southern California,http://www.socalbloggersociety.com/p/members.html,This blog is a way for me to document my journey to total body health and maybe help encourage a few of you along the way.  I love to exercise and am pretty disciplined about my workouts... but I also love to eat and struggle with discipline when it comes to eating.
